"","site","country","year","yearn","nh","harvest","harvest_dt","plot","treat","rep","g1","g2","l1","l2","e","dens","type","richness","g1_y","g2_y","l1_y","l2_y","weed_y","harv_yield"
"86",1,"Belgium",2003,1,4,3,2003-08-25,26,1,1,0.1,0.1,0.4,0.4,0.88,"Low","1","3",0.071651713,0.062305838,3.616853874,0.186917513,0,3.937728938
"87",1,"Belgium",2003,1,4,3,2003-08-25,27,1,1,1,0,0,0,0,"Low","0","1",1.35915904,0,0,0,0.008080613,1.367239653
"88",1,"Belgium",2003,1,4,3,2003-08-25,28,1,1,0,1,0,0,0,"Low","0","1",0,0.692112765,0,0,0,0.692112765
"89",1,"Belgium",2003,1,4,3,2003-08-25,29,1,1,0,0,1,0,0,"Low","0","1",0,0,4.043428966,0,0,4.043428966
"90",1,"Belgium",2003,1,4,3,2003-08-25,30,1,1,0,0,0,1,0,"Low","0","1",0,0,0,2.306192101,0,2.306192101
"91",1,"Belgium",2003,1,4,4,2003-10-13,1,1,1,0.7,0.1,0.1,0.1,0.64,"High","1","2",0.386794749,0.143666621,0.806743334,0.187871735,0,1.52507644
"92",1,"Belgium",2003,1,4,4,2003-10-13,2,1,1,0.1,0.7,0.1,0.1,0.64,"High","1","2",0.308757857,0.38468192,0.738994214,0.167032939,0,1.599466929
"93",1,"Belgium",2003,1,4,4,2003-10-13,3,1,1,0.1,0.1,0.7,0.1,0.64,"High","1","2",0.037844101,0.004730513,1.570530195,0.004730513,0,1.617835322
"94",1,"Belgium",2003,1,4,4,2003-10-13,4,1,1,0.1,0.1,0.1,0.7,0.64,"High","1","2",0.198015762,0.346527584,0.665552978,0.58304641,0,1.793142734
"95",1,"Belgium",2003,1,4,4,2003-10-13,5,1,1,0.25,0.25,0.25,0.25,1,"High","1","4",0.372518961,0.128244233,0.983205782,0.225954124,0,1.7099231
"96",1,"Belgium",2003,1,4,4,2003-10-13,6,1,1,0.4,0.4,0.1,0.1,0.88,"High","1","3",0.336201703,0.336201703,0.778572364,0.442370661,0,1.89334643
"97",1,"Belgium",2003,1,4,4,2003-10-13,7,1,1,0.4,0.1,0.4,0.1,0.88,"High","1","3",0.184009406,0.140713075,1.060760107,0.108240827,0,1.493723415
"98",1,"Belgium",2003,1,4,4,2003-10-13,8,1,1,0.4,0.1,0.1,0.4,0.88,"High","1","3",0.26851818,0.231223988,0.80555454,0.298353533,0,1.603650241
"99",1,"Belgium",2003,1,4,4,2003-10-13,9,1,1,0.1,0.4,0.4,0.1,0.88,"High","1","3",0.254986341,0.106929756,1.176227314,0.065802927,0,1.603946338
"100",1,"Belgium",2003,1,4,4,2003-10-13,10,1,1,0.1,0.4,0.1,0.4,0.88,"High","1","3",0.380170404,0.276014129,0.640561091,0.427040728,0,1.723786352
"101",1,"Belgium",2003,1,4,4,2003-10-13,11,1,1,0.1,0.1,0.4,0.4,0.88,"High","1","3",0.280053843,0.165486362,0.884715551,0.146391782,0,1.476647538
"102",1,"Belgium",2003,1,4,4,2003-10-13,12,1,1,1,0,0,0,0,"High","0","1",0.917838019,0,0,0,0.014341219,0.932179238
"103",1,"Belgium",2003,1,4,4,2003-10-13,13,1,1,0,1,0,0,0,"High","0","1",0,1.384778624,0,0,0,1.384778624
"104",1,"Belgium",2003,1,4,4,2003-10-13,14,1,1,0,0,1,0,0,"High","0","1",0,0,1.652011665,0,0,1.652011665
"105",1,"Belgium",2003,1,4,4,2003-10-13,15,1,1,0,0,0,1,0,"High","0","1",0,0,0,1.497464293,0.010957056,1.508421348
"106",1,"Belgium",2003,1,4,4,2003-10-13,16,1,1,0.7,0.1,0.1,0.1,0.64,"Low","1","2",0.69642251,0.245330657,0.633111372,0.245330657,0,1.820195195
"107",1,"Belgium",2003,1,4,4,2003-10-13,17,1,1,0.1,0.7,0.1,0.1,0.64,"Low","1","2",0.324017754,0.606033207,0.600032879,0.120006576,0,1.650090416
"108",1,"Belgium",2003,1,4,4,2003-10-13,18,1,1,0.1,0.1,0.7,0.1,0.64,"Low","1","2",0.344934002,0.120726901,0.801971554,0.103480201,0,1.371112657
"109",1,"Belgium",2003,1,4,4,2003-10-13,19,1,1,0.1,0.1,0.1,0.7,0.64,"Low","1","2",0.283472143,0.369372792,0.566944286,0.532584026,0,1.752373247
"110",1,"Belgium",2003,1,4,4,2003-10-13,20,1,1,0.25,0.25,0.25,0.25,1,"Low","1","4",0.230953313,0.202958972,1.05678637,0.181963216,0,1.672661871
"111",1,"Belgium",2003,1,4,4,2003-10-13,21,1,1,0.4,0.4,0.1,0.1,0.88,"Low","1","3",0.470184979,0.378590502,0.555673157,0.256464534,0,1.660913172
"112",1,"Belgium",2003,1,4,4,2003-10-13,22,1,1,0.4,0.1,0.4,0.1,0.88,"Low","1","3",0.450757485,0.054821856,1.181715568,0.054821856,0,1.742116766
"113",1,"Belgium",2003,1,4,4,2003-10-13,23,1,1,0.4,0.1,0.1,0.4,0.88,"Low","1","3",0.304741003,0.218788412,0.679806852,0.46101844,0,1.664354706
"114",1,"Belgium",2003,1,4,4,2003-10-13,24,1,1,0.1,0.4,0.4,0.1,0.88,"Low","1","3",0.15522206,0.161689646,0.704966855,0.724369613,0,1.746248174
"115",1,"Belgium",2003,1,4,4,2003-10-13,25,1,1,0.1,0.4,0.1,0.4,0.88,"Low","1","3",0.611811024,0.255481526,0.48407026,0.497516657,0,1.848879467
"116",1,"Belgium",2003,1,4,4,2003-10-13,26,1,1,0.1,0.1,0.4,0.4,0.88,"Low","1","3",0.111637788,0.065669287,1.103244019,0.282377933,0,1.562929026
"117",1,"Belgium",2003,1,4,4,2003-10-13,27,1,1,1,0,0,0,0,"Low","0","1",1.102894555,0,0,0,0.001256144,1.104150699
"118",1,"Belgium",2003,1,4,4,2003-10-13,28,1,1,0,1,0,0,0,"Low","0","1",0,1.31839771,0,0,0.001786447,1.320184156
"119",1,"Belgium",2003,1,4,4,2003-10-13,29,1,1,0,0,1,0,0,"Low","0","1",0,0,1.295428873,0,0,1.295428873
"120",1,"Belgium",2003,1,4,4,2003-10-13,30,1,1,0,0,0,1,0,"Low","0","1",0,0,0,1.363336992,0,1.363336992
"121",1,"Belgium",2003,1,4,1,2003-05-26,31,2,1,0.7,0.1,0.1,0.1,0.64,"High","1","2",3.164055453,1.170077399,0.796206514,0.256170792,0.263094327,5.649604485
"122",1,"Belgium",2003,1,4,1,2003-05-26,32,2,1,0.1,0.7,0.1,0.1,0.64,"High","1","2",1.04897779,4.072846726,0.117204222,0.087903167,0.152365489,5.479297393
"123",1,"Belgium",2003,1,4,1,2003-05-26,33,2,1,0.1,0.1,0.7,0.1,0.64,"High","1","2",2.385511466,1.7891336,0.485621977,1.090519527,0.306708617,6.057495187
"124",1,"Belgium",2003,1,4,1,2003-05-26,34,2,1,0.1,0.1,0.1,0.7,0.64,"High","1","2",1.761649914,2.096014062,0.179658348,0.588880141,0.354326187,4.980528652
"125",1,"Belgium",2003,1,4,1,2003-05-26,35,2,1,0.25,0.25,0.25,0.25,1,"High","1","4",2.300899105,2.857568243,1.233949923,0.185556379,0.315445845,6.893419495
"126",1,"Belgium",2003,1,4,1,2003-05-26,36,2,1,1,0,0,0,0,"High","0","1",5.704298805,0,0,0,0.401773368,6.106072172
"127",1,"Belgium",2003,1,4,1,2003-05-26,37,2,1,0,1,0,0,0,"High","0","1",0,3.808204358,0,0,0.380820436,4.189024794
"128",1,"Belgium",2003,1,4,1,2003-05-26,38,2,1,0,0,1,0,0,"High","0","1",0,0,2.936970969,0,1.357423557,4.294394527
"129",1,"Belgium",2003,1,4,1,2003-05-26,39,2,1,0,0,0,1,0,"High","0","1",0,0,0,1.81397403,1.6490673,3.463041331
"130",1,"Belgium",2003,1,4,1,2003-05-26,40,2,1,0.7,0.1,0.1,0.1,0.64,"Low","1","2",2.628562699,1.949662399,0.56575025,0.65278875,0.93131195,6.728076047
"131",1,"Belgium",2003,1,4,1,2003-05-26,41,2,1,0.1,0.7,0.1,0.1,0.64,"Low","1","2",1.185900268,3.686736585,0.239637878,0.036867366,0.12289122,5.272033317
"132",1,"Belgium",2003,1,4,1,2003-05-26,42,2,1,0.1,0.1,0.7,0.1,0.64,"Low","1","2",2.023480344,0.990771464,1.51498917,0.141538781,0.209687082,4.880466841
"133",1,"Belgium",2003,1,4,1,2003-05-26,43,2,1,0.1,0.1,0.1,0.7,0.64,"Low","1","2",2.170113377,1.143885063,0.862816162,0.359506734,0.627502663,5.163824
"134",1,"Belgium",2003,1,4,1,2003-05-26,44,2,1,0.25,0.25,0.25,0.25,1,"Low","1","4",2.697432605,1.640996859,0.964877981,0.225372959,0.478917538,6.007597942
"135",1,"Belgium",2003,1,4,1,2003-05-26,45,2,1,1,0,0,0,0,"Low","0","1",5.1597133,0,0,0,0.300983276,5.460696576
"136",1,"Belgium",2003,1,4,1,2003-05-26,46,2,1,0,1,0,0,0,"Low","0","1",0,3.544611225,0,0,0.25560293,3.800214155
"137",1,"Belgium",2003,1,4,1,2003-05-26,47,2,1,0,0,1,0,0,"Low","0","1",0,0,2.87992913,0,1.485781619,4.365710749
"138",1,"Belgium",2003,1,4,1,2003-05-26,48,2,1,0,0,0,1,0,"Low","0","1",0,0,0,1.557764743,1.931976385,3.489741128
"139",1,"Belgium",2003,1,4,2,2003-07-07,31,2,1,0.7,0.1,0.1,0.1,0.64,"High","1","2",2.498967471,0.686529525,1.173965488,0.56295421,0.048057067,4.97047376
"140",1,"Belgium",2003,1,4,2,2003-07-07,32,2,1,0.1,0.7,0.1,0.1,0.64,"High","1","2",0.969401491,1.70392597,0.841286757,0.478295009,0.012811473,4.0057207
"141",1,"Belgium",2003,1,4,2,2003-07-07,33,2,1,0.1,0.1,0.7,0.1,0.64,"High","1","2",0.692202595,0.218310049,3.604778131,0.165063696,0,4.680354471
"142",1,"Belgium",2003,1,4,2,2003-07-07,34,2,1,0.1,0.1,0.1,0.7,0.64,"High","1","2",0.783627527,0.705264775,1.421724228,1.270596062,0,4.181212592
"143",1,"Belgium",2003,1,4,2,2003-07-07,35,2,1,0.25,0.25,0.25,0.25,1,"High","1","4",1.281054088,1.001849992,1.929793017,0.509136881,0,4.721833977
