site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
1,Belgium,2004,14,20.01206987,15.90438642,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,15,9.260522683,19.58976049,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,16,21.33685909,13.30701868,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,17,19.42910821,13.45619777,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,18,21.27329669,13.75200237,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,19,19.55116948,12.53468017,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,20,20.56963311,12.6393833,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,21,20.27311664,13.86390956,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,22,21.84450812,13.30769086,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,23,20.63667466,13.99048941,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,24,20.76327033,14.31334334,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,25,20.01956948,13.21719239,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,26,20.61387127,15.22380172,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,27,11.34026681,9.312837227,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,28,12.81596683,7.942387425,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,29,18.43984898,15.82470179,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,30,8.376858954,21.08558831,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,31,19.94688151,11.97014255,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,32,20.63609893,13.25606678,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,33,21.89918671,14.58686554,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,34,19.00298959,12.94468364,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,35,23.14625732,14.72951467,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,36,11.989455,8.312337784,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,37,13.02490721,8.160978207,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2004,38,20.79226985,16.99953973,NA,NA,NA,NA,NA,NA,NA,NA
