"","SITE","Country","Location","Lat_deg","Lat_min","Lat_ns","Long_deg","Long_min","Long_ew","Year","Yearn","Nh","Plot","G1","G2","L1","L2","E","Dens","G1_yn","G2_yn","L1_yn","L2_yn","Weed_yn","Annual_yield","Mixture_type","Sowing_method","Sep_method","Carbonates","Ec","Silt","Silt_fine","Clay","Sand","Om","Soil_type","Humidity","CA","K","N-NO3","Mg","Na","P","PH","Precip_s","Air_mean_a","Air_min_a","Air_max_a","Cp_la","Ndf_ca","Adf_ca","Ivtd_ca","Ivcwd_ca","Cp_ca","Ndf_ka","Adf_ka","Cp_ka"
"14",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,14,0,0,1,0,0,"High",0,0,14.53308137,0,1.143801282,15.67688265,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,18.98035506,NA,NA,NA,NA,NA,49.0383897,25.49028249,21.26807531
"15",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,15,0,0,0,1,0,"High",0,0,0,7.803166618,2.249405773,10.05257239,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,21.27435955,NA,NA,NA,NA,NA,47.83146894,23.49743629,23.0451824
"16",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,16,0.7,0.1,0.1,0.1,0.64,"Low",6.024074516,1.946152293,6.677905668,1.141242397,0.53110172,16.32047659,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,13.73653514,NA,NA,NA,NA,NA,54.9513249,27.8560712,15.03939871
"17",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,17,0.1,0.7,0.1,0.1,0.64,"Low",3.087756502,5.430447918,4.734559106,0.51063619,0.206774572,13.97017429,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.905779,NA,NA,NA,NA,NA,55.16834535,27.59311231,15.61428554
"18",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,18,0.1,0.1,0.7,0.1,0.64,"Low",3.663042996,2.597651272,9.007831173,0.282189534,0.225514787,15.77622976,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,16.36839708,NA,NA,NA,NA,NA,53.78330073,27.30915154,17.7609907
"19",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,19,0.1,0.1,0.1,0.7,0.64,"Low",2.785933417,4.420419397,5.983177457,2.691670901,0.286988115,16.16818929,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,16.66992989,NA,NA,NA,NA,NA,53.52884507,27.44204956,18.03649624
"20",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,20,0.25,0.25,0.25,0.25,1,"Low",4.628825432,3.638144832,6.9387006,1.725413292,0.130611115,17.06169527,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.64721905,NA,NA,NA,NA,NA,54.58495133,28.31597559,15.85488299
"21",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,21,0.4,0.4,0.1,0.1,0.88,"Low",4.792295371,3.43354677,6.509362843,1.031277562,0.364830339,16.13131289,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.07198786,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,22,0.4,0.1,0.4,0.1,0.88,"Low",5.66514189,1.455528756,9.20164636,0.393623404,0.738376019,17.45431643,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,15.76845767,NA,NA,NA,NA,NA,NA,NA,NA
"23",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,23,0.4,0.1,0.1,0.4,0.88,"Low",5.373906315,2.672516657,5.354517838,2.659011566,0.395303849,16.45525622,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,15.51852472,NA,NA,NA,NA,NA,NA,NA,NA
